gene	gene_id	transcript	transcript_mis_oe	transcript_cds_length	n_mcrs	min_mcr_mis_oe	min_mcr_oe_cds_length	loeuf	loeuf_decile	genebayes_shet_decile	roulette_shet_decile	omim_disease_inheritance	ddg2p_monoallelic_strong_def
TBC1D25	ENSG00000068354	ENST00000376771	0.62001	2064	1	0.5680163123	NA	1.456275506	9	9	NA	No OMIM disease association	FALSE
PPP1R11	ENSG00000204619	ENST00000376772	0.63667	378	1	0.6366581034	NA	1.639764308	9	8	8	No OMIM disease association	FALSE
UBIAD1	ENSG00000120942	ENST00000376810	0.79388	1014	3	0.4941688081	246	1.127565033	7	7	6	Autosomal dominant only	FALSE
ANGPTL7	ENSG00000171819	ENST00000376819	0.97366	1038	1	0.9736632083	NA	1.250267752	8	2	2	No OMIM disease association	FALSE
DZIP1	ENSG00000134874	ENST00000376829	0.97315	2601	1	0.9731101918	NA	1.034669225	6	5	3	Other inheritance type	FALSE
CARNMT1	ENSG00000156017	ENST00000376834	0.82126	1227	2	0.6816336002	873	0.8843592706	5	8	7	No OMIM disease association	FALSE
COMMD3	ENSG00000148444	ENST00000376836	1.1564	585	1	1.156362102	NA	1.347883555	8	2	3	No OMIM disease association	FALSE
C9orf40	ENSG00000135045	ENST00000376854	0.95347	582	1	0.9534805766	NA	0.7810171062	4	6	6	No OMIM disease association	FALSE
SYNDIG1	ENSG00000101463	ENST00000376862	0.90588	774	1	0.9058868078	NA	0.7583015609	4	7	6	No OMIM disease association	FALSE
NMS	ENSG00000204640	ENST00000376865	1.02	459	1	1.019969938	NA	1.263894519	8	2	1	No OMIM disease association	FALSE
RILPL1	ENSG00000188026	ENST00000376874	0.77054	1209	1	0.7705353193	NA	0.7324328963	4	9	5	Autosomal dominant only	FALSE
ZFP57	ENSG00000204644	ENST00000376883	0.81843	1608	1	0.8184205705	NA	1.20702576	8	6	6	Other inheritance type	FALSE
RORB	ENSG00000198963	ENST00000376896	0.57088	1377	4	0.3178967265	290	0.2112771431	1	10	10	Autosomal dominant only	TRUE
YIF1A	ENSG00000174851	ENST00000376901	0.95448	879	1	0.954476829	NA	1.148226304	7	1	1	No OMIM disease association	FALSE
MOG	ENSG00000204655	ENST00000376917	0.83393	741	1	0.8339424546	NA	0.7890714552	4	7	7	Autosomal dominant only	FALSE
CST3	ENSG00000101439	ENST00000376925	1.1603	438	1	1.16028591	NA	1.951678586	10	5	6	Other inheritance type	FALSE
EXOSC10	ENSG00000171824	ENST00000376936	0.94592	2655	3	0.2760048301	71	0.8460074084	5	6	5	No OMIM disease association	FALSE
ZNF182	ENSG00000147118	ENST00000376943	0.77661	1860	1	0.776613348	NA	0.9956971219	6	9	NA	No OMIM disease association	FALSE
SRM	ENSG00000116649	ENST00000376957	0.59628	906	1	0.5962708634	NA	0.4057814011	2	8	8	No OMIM disease association	FALSE
GPR180	ENSG00000152749	ENST00000376958	1.0113	1320	1	1.011289251	NA	1.287059945	8	2	3	No OMIM disease association	FALSE
ZFAND5	ENSG00000107372	ENST00000376962	0.63473	639	3	0.3001350608	200	0.5847870671	3	10	9	No OMIM disease association	FALSE
CST9	ENSG00000173335	ENST00000376971	1.075	477	1	1.075052748	NA	2.786885562	10	3	3	No OMIM disease association	FALSE
CBY3	ENSG00000204659	ENST00000376974	1.189	726	1	1.188954612	NA	NA	NA	2	NA	No OMIM disease association	FALSE
CST9L	ENSG00000101435	ENST00000376979	0.99723	441	1	0.9972429166	NA	1.951131959	10	1	1	No OMIM disease association	FALSE
DNAJC1	ENSG00000136770	ENST00000376980	1.0173	1662	1	1.017334554	NA	0.8921459572	5	6	4	No OMIM disease association	FALSE
C1orf127	ENSG00000175262	ENST00000377004	0.94122	2469	1	0.9412105416	NA	0.9450626854	6	3	5	No OMIM disease association	FALSE
CST11	ENSG00000125831	ENST00000377009	1.1314	414	1	1.131391424	NA	1.418562555	9	2	3	No OMIM disease association	FALSE
CASZ1	ENSG00000130940	ENST00000377022	0.88084	5277	6	0.6037147934	881	0.1510715953	1	10	10	No OMIM disease association	FALSE
NAPB	ENSG00000125814	ENST00000377026	0.88382	894	3	0.3684259003	119	0.9828722124	6	8	8	Other inheritance type	FALSE
DCT	ENSG00000080166	ENST00000377028	1.0495	1557	1	1.049510542	NA	1.210642593	8	1	1	Autosomal recessive only	FALSE
GABBR1	ENSG00000204681	ENST00000377034	0.57092	2883	8	0.06209637357	39	0.3524525309	1	10	9	No OMIM disease association	FALSE
IL31	ENSG00000204671	ENST00000377035	0.78796	492	1	0.7879377432	NA	1.60549688	9	3	3	No OMIM disease association	FALSE
DFFA	ENSG00000160049	ENST00000377038	0.97028	993	1	0.9702775731	NA	0.8505895297	5	3	5	No OMIM disease association	FALSE
CEMIP2	ENSG00000135048	ENST00000377044	0.94093	4149	1	0.9409267775	NA	0.7300512679	4	6	6	No OMIM disease association	FALSE
ARAF	ENSG00000078061	ENST00000377045	0.71631	1818	4	0.294430359	225	0.437903802	2	9	NA	No OMIM disease association	FALSE
GPC6	ENSG00000183098	ENST00000377047	0.90477	1665	1	0.9047666097	NA	0.4108374765	2	8	8	Autosomal recessive only	FALSE
CORT	ENSG00000241563	ENST00000377049	1.1266	315	1	1.126640046	NA	2.904128266	10	3	NA	No OMIM disease association	FALSE
UBD	ENSG00000213886	ENST00000377050	0.87823	495	1	0.8782495232	NA	2.616270958	10	2	9	No OMIM disease association	FALSE
GPC5	ENSG00000179399	ENST00000377067	1.049	1716	1	1.048955952	NA	1.116749389	7	2	3	No OMIM disease association	FALSE
KDM2B	ENSG00000089094	ENST00000377071	0.69623	4008	11	0	25	0.189714623	1	10	9	No OMIM disease association	FALSE
ZNF157	ENSG00000147117	ENST00000377073	0.82039	1518	3	0.1690712353	70	2.407298497	10	4	NA	No OMIM disease association	FALSE
CNNM4	ENSG00000158158	ENST00000377075	0.76715	2325	3	0.1901502187	48	0.7383674241	4	7	5	Autosomal recessive only	FALSE
SLC25A39	ENSG00000013306	ENST00000377095	1.0297	1077	1	1.029641845	NA	1.130028095	7	4	4	No OMIM disease association	FALSE
SPRY2	ENSG00000136158	ENST00000377104	0.86662	945	1	0.8666297173	NA	2.815925264	10	10	10	Autosomal dominant only	FALSE
USP11	ENSG00000102226	ENST00000377107	0.60402	2760	5	0.0498977097	75	0.1561901024	1	10	NA	No OMIM disease association	FALSE
NEBL	ENSG00000078114	ENST00000377122	1.1086	3042	2	0.5487972194	164	1.030315578	6	2	2	No OMIM disease association	FALSE
KLF9	ENSG00000119138	ENST00000377126	0.6782	732	1	0.6781898932	NA	0.3849878735	2	10	10	No OMIM disease association	FALSE
IRF3	ENSG00000126456	ENST00000377139	0.90322	1281	1	0.9032211908	NA	0.7772255919	4	7	6	Autosomal dominant only	FALSE
NKX2-2	ENSG00000125820	ENST00000377142	1.0189	819	3	0.4544651198	169	0.4000570921	2	8	9	No OMIM disease association	FALSE
ZNF311	ENSG00000197935	ENST00000377179	0.91491	1998	1	0.9149165186	NA	0.9111281158	5	4	5	No OMIM disease association	FALSE
MAMDC2	ENSG00000165072	ENST00000377182	0.97495	2058	1	0.9749439407	NA	0.8136967911	5	3	5	No OMIM disease association	FALSE
SPDYC	ENSG00000204710	ENST00000377185	0.91148	879	1	0.9114889394	NA	1.41114368	9	4	4	No OMIM disease association	FALSE
SYVN1	ENSG00000162298	ENST00000377190	0.77502	1851	2	0.6363268426	1006	0.4044266421	2	10	10	No OMIM disease association	FALSE
XRN2	ENSG00000088930	ENST00000377191	0.80136	2850	6	0.2303192224	54	0.4150679892	2	8	8	No OMIM disease association	FALSE
C9orf135	ENSG00000204711	ENST00000377197	1.0815	687	1	1.081447641	NA	1.218131845	8	2	2	No OMIM disease association	FALSE
TRIM27	ENSG00000204713	ENST00000377199	0.61356	1539	1	0.6135623154	NA	0.3517104453	1	9	10	No OMIM disease association	FALSE
NMNAT1	ENSG00000173614	ENST00000377205	0.84261	837	1	0.8426120975	NA	1.197454636	8	3	3	Autosomal recessive only	FALSE
POU4F1	ENSG00000152192	ENST00000377208	0.79742	1257	4	0.3973773098	210	1.107322368	7	10	10	Autosomal dominant only	TRUE
LZIC	ENSG00000162441	ENST00000377223	0.80519	570	1	0.8051911145	NA	1.648409145	9	6	5	No OMIM disease association	FALSE
SNX15	ENSG00000110025	ENST00000377244	0.88595	1026	1	0.8859357697	NA	1.338261344	8	5	4	No OMIM disease association	FALSE
TJP2	ENSG00000119139	ENST00000377245	0.9843	3570	1	0.9842871742	NA	0.859594387	5	6	5	Autosomal recessive only	FALSE
PLXDC2	ENSG00000120594	ENST00000377252	0.973	1587	3	0.6761608425	400	0.7467131262	4	8	8	No OMIM disease association	FALSE
CTNNBIP1	ENSG00000178585	ENST00000377263	0.89071	243	1	0.890731105	NA	0.9915403989	6	7	7	No OMIM disease association	FALSE
ATG2A	ENSG00000110046	ENST00000377264	0.88472	5814	1	0.8847390173	NA	0.484781852	2	8	7	No OMIM disease association	FALSE
ARL5B	ENSG00000165997	ENST00000377275	0.78059	537	1	0.7805926895	NA	0.7179601984	4	8	6	No OMIM disease association	FALSE
PRKACG	ENSG00000165059	ENST00000377276	1.039	1053	1	1.039011535	NA	1.1955845	8	3	2	Autosomal recessive only	FALSE
ZKSCAN4	ENSG00000187626	ENST00000377294	0.83558	1635	3	0.2855816942	70	1.031175352	6	5	2	No OMIM disease association	FALSE
CLSTN1	ENSG00000171603	ENST00000377298	0.8882	2943	1	0.8882235529	NA	0.3077213918	1	8	9	No OMIM disease association	FALSE
NSUN6	ENSG00000241058	ENST00000377304	1.2743	1407	1	1.274336927	NA	1.443829872	9	1	1	No OMIM disease association	FALSE
ARHGAP39	ENSG00000147799	ENST00000377307	0.94848	3342	4	0.5212459864	94	0.3612903352	2	8	7	No OMIM disease association	FALSE
TMEM252	ENSG00000181778	ENST00000377311	0.98839	510	1	0.9883970778	NA	1.622718617	9	3	2	No OMIM disease association	FALSE
FOXH1	ENSG00000160973	ENST00000377317	1.3067	1095	1	1.306644991	NA	1.159306208	7	4	6	No OMIM disease association	FALSE
PIK3CD	ENSG00000171608	ENST00000377346	0.55961	3132	6	0.0487757292	46	0.1788862302	1	9	9	Other inheritance type	FALSE
INSYN2B	ENSG00000204767	ENST00000377365	0.94054	1605	1	0.9405504076	NA	0.5905440646	3	9	9	No OMIM disease association	FALSE
SLC39A12	ENSG00000148482	ENST00000377369	1.0978	2073	1	1.097751578	NA	1.146726944	7	3	4	No OMIM disease association	FALSE
TGOLN2	ENSG00000152291	ENST00000377386	0.96563	1311	1	0.9656306999	NA	1.180929713	8	6	4	No OMIM disease association	FALSE
SF1	ENSG00000168066	ENST00000377390	0.65388	1917	7	0	44	0.1769639496	1	10	10	Other inheritance type	FALSE
CBWD6	ENSG00000215126	ENST00000377391	0.44701	1185	5	0	137	0.7861118244	4	NA	NA	No OMIM disease association	FALSE
CBWD1	ENSG00000172785	ENST00000377400	0.44771	1185	4	0.04093244101	249	0.5936803194	3	2	NA	No OMIM disease association	FALSE
H2BC13	ENSG00000185130	ENST00000377401	0.96247	378	1	0.9624413146	NA	NA	NA	4	1	No OMIM disease association	FALSE
H6PD	ENSG00000049239	ENST00000377403	1.0263	2373	1	1.02629108	NA	0.8036083618	4	1	3	Autosomal recessive only	FALSE
GPR157	ENSG00000180758	ENST00000377411	0.95513	1005	1	0.9551305707	NA	0.8540084592	5	1	6	No OMIM disease association	FALSE
SLC2A5	ENSG00000142583	ENST00000377424	0.8706	1503	1	0.870608503	NA	1.159102416	7	3	3	No OMIM disease association	FALSE
SCP2D1	ENSG00000132631	ENST00000377428	1.0649	468	1	1.064911436	NA	4.031084706	10	4	3	No OMIM disease association	FALSE
CA6	ENSG00000131686	ENST00000377443	0.98701	924	1	0.9870143471	NA	0.9983393931	6	1	5	No OMIM disease association	FALSE
DTD1	ENSG00000125821	ENST00000377452	0.72459	627	1	0.7245832708	NA	0.7971804907	4	7	7	No OMIM disease association	FALSE
CLN5	ENSG00000102805	ENST00000377453	0.97178	1074	1	0.9717796996	NA	1.394099604	9	4	3	Autosomal recessive only	FALSE
ACOD1	ENSG00000102794	ENST00000377462	0.90399	1443	1	0.9039894933	NA	1.767323671	9	5	NA	No OMIM disease association	FALSE
SPATC1	ENSG00000186583	ENST00000377470	0.97863	1773	1	0.9786309217	NA	1.094657457	7	1	1	No OMIM disease association	FALSE
KCTD12	ENSG00000178695	ENST00000377474	0.96334	975	2	0.7062228654	364	0.6083033248	3	5	1	No OMIM disease association	FALSE
ERRFI1	ENSG00000116285	ENST00000377482	0.84244	1386	1	0.842436424	NA	1.798113244	9	7	4	No OMIM disease association	FALSE
TMEM236	ENSG00000148483	ENST00000377495	1.0859	1053	1	1.085862723	NA	1.414071086	9	2	NA	No OMIM disease association	FALSE
TNFRSF9	ENSG00000049249	ENST00000377507	0.96181	765	1	0.9618131607	NA	0.9850591749	6	4	5	No OMIM disease association	FALSE
STAM	ENSG00000136738	ENST00000377524	0.96788	1620	3	0.426225398	101	0.3573271708	1	9	9	No OMIM disease association	FALSE
AUP1	ENSG00000115307	ENST00000377526	0.95153	1230	1	0.9515336711	NA	0.7688824986	4	7	6	No OMIM disease association	FALSE
PER3	ENSG00000049246	ENST00000377532	1.0224	3630	3	0.2798147433	234	0.9325899605	6	4	3	Autosomal dominant only	FALSE
LMO7	ENSG00000136153	ENST00000377534	1.0006	4893	1	1.000561826	NA	0.7005379084	4	4	5	No OMIM disease association	FALSE
ODAD4	ENSG00000204815	ENST00000377540	1.006	2016	2	0.2456398919	41	1.231757246	8	NA	3	No OMIM disease association	FALSE
LBX2	ENSG00000179528	ENST00000377566	0.99636	594	3	0.2944062807	35	2.114334255	10	3	9	No OMIM disease association	FALSE
SLC22A12	ENSG00000197891	ENST00000377574	0.92105	1659	1	0.9210561804	NA	1.081109835	7	2	4	Autosomal recessive only	FALSE
DNAJC11	ENSG00000007923	ENST00000377577	0.7709	1677	1	0.7709002762	NA	0.2432158355	1	9	9	No OMIM disease association	FALSE
UCHL3	ENSG00000118939	ENST00000377595	0.82705	690	1	0.8270432302	NA	1.003928325	6	6	3	No OMIM disease association	FALSE
ST8SIA6	ENSG00000148488	ENST00000377602	0.99374	1194	1	0.9937356348	NA	1.482064027	9	1	4	No OMIM disease association	FALSE
POLR3F	ENSG00000132664	ENST00000377603	0.80666	948	3	0.6135660006	450	0.9172913224	5	6	4	Autosomal dominant only	FALSE
RBM10	ENSG00000182872	ENST00000377604	0.52205	2790	8	0.284096674	323	0.08483801468	1	10	NA	Other inheritance type	TRUE
TBC1D4	ENSG00000136111	ENST00000377636	0.9181	3894	2	0.7317361029	872	0.9656760428	6	6	4	Other inheritance type	FALSE
PHF13	ENSG00000116273	ENST00000377648	0.75901	900	5	0.1921201194	144	0.2233625843	1	10	10	No OMIM disease association	FALSE
KLHL21	ENSG00000162413	ENST00000377658	1.0325	1791	1	1.032469943	NA	1.03774956	6	6	5	No OMIM disease association	FALSE
KLF12	ENSG00000118922	ENST00000377669	0.7966	1206	2	0.5076571622	259	0.5009165764	2	10	10	No OMIM disease association	FALSE
HIF3A	ENSG00000124440	ENST00000377670	0.95214	2007	3	0.4122105938	102	0.7584173694	4	7	7	No OMIM disease association	FALSE
FAM216A	ENSG00000204856	ENST00000377673	0.96084	819	1	0.9608299685	NA	0.936298514	6	3	4	No OMIM disease association	FALSE
ZBTB48	ENSG00000204859	ENST00000377674	0.92486	2064	1	0.9248606566	NA	0.5741943557	3	7	7	No OMIM disease association	FALSE
KLF5	ENSG00000102554	ENST00000377687	0.87409	1371	4	0.2058036633	43	0.3984274231	2	10	9	No OMIM disease association	FALSE
IGFL2	ENSG00000204866	ENST00000377693	0.9338	357	1	0.9338205441	NA	0.9514571208	6	2	1	No OMIM disease association	FALSE
IGFL4	ENSG00000204869	ENST00000377697	0.85274	372	1	0.8527341635	NA	1.402073858	9	2	2	No OMIM disease association	FALSE
ALDH1B1	ENSG00000137124	ENST00000377698	0.98233	1551	1	0.9823297759	NA	2.924321543	10	2	3	No OMIM disease association	FALSE
NOL9	ENSG00000162408	ENST00000377705	0.86617	2106	2	0.7473625161	1346	0.5540088111	3	7	6	No OMIM disease association	FALSE
SHB	ENSG00000107338	ENST00000377707	1.1406	1527	1	1.140558251	NA	0.5912467781	3	9	8	No OMIM disease association	FALSE
BTN3A2	ENSG00000186470	ENST00000377708	0.64731	1002	3	0.1484707513	246	0.9762873713	6	1	2	No OMIM disease association	FALSE
MGME1	ENSG00000125871	ENST00000377710	0.96284	1032	1	0.962843783	NA	1.04293147	7	1	5	Autosomal recessive only	FALSE
KRTAP9-2	ENSG00000239886	ENST00000377721	0.85522	522	2	0.4371630202	118	NA	NA	4	1	No OMIM disease association	FALSE
DCAF10	ENSG00000122741	ENST00000377724	0.69807	1677	4	0.4640200339	668	0.533004798	3	9	9	No OMIM disease association	FALSE
PLEKHG5	ENSG00000171680	ENST00000377728	0.89418	3018	1	0.8941822499	NA	0.4895638248	2	6	6	Autosomal recessive only	FALSE
H2BC10	ENSG00000278588	ENST00000377733	1.1325	378	1	1.132455828	NA	NA	NA	NA	3	No OMIM disease association	FALSE
KRTAP1-4	ENSG00000204887	ENST00000377747	0.97703	363	1	0.97703653	NA	1.839648464	9	4	8	No OMIM disease association	FALSE
KRT40	ENSG00000204889	ENST00000377755	1.0943	1293	1	1.09430503	NA	1.436712381	9	1	3	No OMIM disease association	FALSE
SNX5	ENSG00000089006	ENST00000377759	0.98381	1212	1	0.9838120104	NA	0.7500544408	4	7	7	No OMIM disease association	FALSE
FRMPD1	ENSG00000070601	ENST00000377765	0.90913	4734	1	0.909137185	NA	0.823108295	5	5	5	No OMIM disease association	FALSE
DIS3	ENSG00000083520	ENST00000377767	0.96049	2874	3	0.3085784818	50	1.162678537	7	3	2	No OMIM disease association	FALSE
DPP6	ENSG00000130226	ENST00000377770	0.83086	2595	1	0.8308711612	NA	0.6120578137	3	8	6	Autosomal dominant only	FALSE
H2BC5	ENSG00000158373	ENST00000377777	1.0369	378	4	0.2369668246	31	NA	NA	4	1	No OMIM disease association	FALSE
H2AC6	ENSG00000180573	ENST00000377791	0.85248	390	2	0.4847801578	191	12.95692638	10	7	9	No OMIM disease association	FALSE
NAA40	ENSG00000110583	ENST00000377793	0.77334	711	1	0.7733472558	NA	1.136831627	7	6	5	No OMIM disease association	FALSE
POLR1E	ENSG00000137054	ENST00000377798	0.82221	1257	1	0.8222033506	NA	1.093404563	7	4	3	No OMIM disease association	FALSE
TRDMT1	ENSG00000107614	ENST00000377799	1.1552	1173	1	1.155169057	NA	1.187193627	8	2	4	No OMIM disease association	FALSE
PLCXD3	ENSG00000182836	ENST00000377801	1.0591	963	1	1.059087278	NA	1.032739011	6	5	5	No OMIM disease association	FALSE
RRBP1	ENSG00000125844	ENST00000377813	0.95065	4230	5	0.06773920406	145	0.6567816239	3	6	5	No OMIM disease association	FALSE
MZT1	ENSG00000204899	ENST00000377818	0.85662	246	1	0.8565902183	NA	1.867478578	10	5	5	No OMIM disease association	FALSE
RTN3	ENSG00000133318	ENST00000377819	1.0199	3096	3	0.5858582824	172	0.9212668437	5	7	7	No OMIM disease association	FALSE
CUBN	ENSG00000107611	ENST00000377833	1.0087	10869	5	0.5158148844	118	0.7415900367	4	5	4	Autosomal recessive only	FALSE
HES2	ENSG00000069812	ENST00000377834	1.0242	519	1	1.024226906	NA	1.00621568	6	2	NA	No OMIM disease association	FALSE
ZFAT	ENSG00000066827	ENST00000377838	0.9044	3729	5	0.5984097057	264	0.5685336674	3	7	6	No OMIM disease association	FALSE
CSNK1A1	ENSG00000113712	ENST00000377843	0.23016	1011	1	0.2301606329	NA	0.2670216464	1	10	10	No OMIM disease association	FALSE
KLHL1	ENSG00000150361	ENST00000377844	1.0156	2244	1	1.015624142	NA	0.8335809151	5	6	5	No OMIM disease association	FALSE
SLC17A2	ENSG00000112337	ENST00000377850	0.86995	1434	1	0.8699523924	NA	0.8576682046	5	6	5	Other inheritance type	FALSE
PCDH9	ENSG00000184226	ENST00000377865	0.85195	3711	4	0.4018350467	79	0.4443139988	2	9	9	No OMIM disease association	FALSE
BFSP1	ENSG00000125864	ENST00000377873	0.97127	1995	1	0.9712731677	NA	0.9443535949	6	5	5	Other inheritance type	FALSE
TDRD3	ENSG00000083544	ENST00000377881	0.91563	2232	1	0.9156355456	NA	0.6730637417	4	7	6	No OMIM disease association	FALSE
HTR4	ENSG00000164270	ENST00000377888	0.89233	1164	1	0.8923296323	NA	0.6551281821	3	6	6	No OMIM disease association	FALSE
GPR153	ENSG00000158292	ENST00000377893	0.98587	1827	1	0.9858630952	NA	0.868186419	5	4	4	No OMIM disease association	FALSE
HES3	ENSG00000173673	ENST00000377898	1.0194	558	1	1.019391431	NA	1.732823783	9	4	6	No OMIM disease association	FALSE
SLC17A4	ENSG00000146039	ENST00000377905	0.97978	1491	1	0.9797846149	NA	0.8986624238	5	1	4	No OMIM disease association	FALSE
SPINK9	ENSG00000204909	ENST00000377906	0.9789	258	1	0.9788718744	NA	0.9907931766	6	1	1	No OMIM disease association	FALSE
PCDH17	ENSG00000118946	ENST00000377918	0.94008	3477	3	0.3038925878	83	0.412892137	2	8	7	No OMIM disease association	FALSE
LRRC3C	ENSG00000204913	ENST00000377924	0.97833	825	1	0.9783329648	NA	1.905999478	10	3	NA	No OMIM disease association	FALSE
GKN1	ENSG00000169605	ENST00000377938	0.97102	555	1	0.9710035188	NA	1.451914418	9	4	2	No OMIM disease association	FALSE
RNF207	ENSG00000158286	ENST00000377939	1.0938	1902	1	1.093777388	NA	0.9835758829	6	1	3	No OMIM disease association	FALSE
PCDH8	ENSG00000136099	ENST00000377942	0.95231	3210	3	0.1523229246	53	0.684938267	4	7	6	No OMIM disease association	FALSE
LYPD5	ENSG00000159871	ENST00000377950	0.87035	753	1	0.8703563306	NA	1.556110203	9	2	3	No OMIM disease association	FALSE
UQCC3	ENSG00000204922	ENST00000377953	1.1463	279	1	1.146248272	NA	2.612417477	10	4	1	Autosomal recessive only	FALSE
FBXO48	ENSG00000204923	ENST00000377957	0.98846	465	1	0.9884402748	NA	1.43018807	9	5	1	No OMIM disease association	FALSE
GLIPR2	ENSG00000122694	ENST00000377960	1.0246	462	1	1.024538957	NA	1.321481986	8	4	5	No OMIM disease association	FALSE
SCGN	ENSG00000079689	ENST00000377961	1.0104	828	1	1.010419052	NA	1.04852617	7	3	4	No OMIM disease association	FALSE
CNMD	ENSG00000136110	ENST00000377962	0.93899	1002	1	0.9389892889	NA	0.9286991904	6	2	2	No OMIM disease association	FALSE
RECK	ENSG00000122707	ENST00000377966	0.86983	2913	1	0.869818061	NA	0.7722645622	4	6	5	No OMIM disease association	FALSE
GRXCR2	ENSG00000204928	ENST00000377976	1.0381	744	1	1.038096494	NA	1.378714756	9	2	3	Autosomal recessive only	FALSE
OR13J1	ENSG00000168828	ENST00000377981	0.96566	936	1	0.9656706608	NA	2.181888019	10	4	1	No OMIM disease association	FALSE
CEP68	ENSG00000011523	ENST00000377990	1.0108	2271	1	1.010847866	NA	0.6161549279	3	5	8	No OMIM disease association	FALSE
AHNAK	ENSG00000124942	ENST00000378024	1.0125	17670	1	1.012514687	NA	0.4841551446	2	7	5	No OMIM disease association	FALSE
CKAP4	ENSG00000136026	ENST00000378026	0.97218	1806	3	0.563136803	168	1.40640546	9	9	9	No OMIM disease association	FALSE
BEST1	ENSG00000167995	ENST00000378043	0.9066	1755	1	0.906609739	NA	1.067688875	7	4	2	Other inheritance type	FALSE
FUNDC1	ENSG00000069509	ENST00000378045	1.0101	465	1	1.01018974	NA	2.05223469	10	7	NA	No OMIM disease association	FALSE
VPS36	ENSG00000136100	ENST00000378060	0.72897	1158	1	0.728966722	NA	0.6461593618	3	8	5	No OMIM disease association	FALSE
ZNF425	ENSG00000204947	ENST00000378061	0.89735	2256	5	0.1979414093	52	1.819379015	9	3	5	No OMIM disease association	FALSE
MAOB	ENSG00000069535	ENST00000378069	0.86527	1560	1	0.8652688604	NA	0.6931168005	4	10	NA	No OMIM disease association	FALSE
ITGA8	ENSG00000077943	ENST00000378076	1.059	3189	1	1.058974166	NA	0.7378413569	4	5	5	Autosomal recessive only	FALSE
RGP1	ENSG00000107185	ENST00000378078	0.84976	1173	1	0.8497717639	NA	0.8372888798	5	6	5	No OMIM disease association	FALSE
FBXO47	ENSG00000204952	ENST00000378079	0.89604	1356	1	0.8960407929	NA	0.969608951	6	6	7	No OMIM disease association	FALSE
KCNAB2	ENSG00000069424	ENST00000378083	0.63664	1245	2	0.5692201054	1064	0.468895323	2	8	8	No OMIM disease association	FALSE
C12orf73	ENSG00000204954	ENST00000378090	1.1413	213	1	1.141294522	NA	1.884335167	10	2	NA	No OMIM disease association	FALSE
GBA2	ENSG00000070610	ENST00000378103	0.87648	2781	1	0.8764705882	NA	0.7472189005	4	6	5	Autosomal recessive only	FALSE
NDUFAF5	ENSG00000101247	ENST00000378106	1.0012	1035	1	1.001169591	NA	1.013440951	6	4	1	Autosomal recessive only	FALSE
FAM171A1	ENSG00000148468	ENST00000378116	1.0024	2670	1	1.002415459	NA	0.583270721	3	9	9	No OMIM disease association	FALSE
C6orf62	ENSG00000112308	ENST00000378119	0.70737	687	1	0.7073646981	NA	1.046803212	7	10	10	No OMIM disease association	FALSE
GPR34	ENSG00000171659	ENST00000378142	0.72737	1143	1	0.7273596503	NA	NA	NA	8	NA	No OMIM disease association	FALSE
NPHP4	ENSG00000131697	ENST00000378156	1.0157	4278	1	1.015734538	NA	0.8586661781	5	1	3	Autosomal recessive only	FALSE
CASK	ENSG00000147044	ENST00000378163	0.49658	2778	5	0.2931058421	269	0.1793146436	1	10	NA	Other inheritance type	TRUE
TAF2	ENSG00000064313	ENST00000378164	0.76337	3597	3	0.2195389682	72	0.5901693401	3	8	7	Autosomal recessive only	FALSE
NMT2	ENSG00000152465	ENST00000378165	0.79992	1494	1	0.7999214801	NA	0.6432939203	3	8	8	No OMIM disease association	FALSE
TRIM13	ENSG00000204977	ENST00000378182	0.85138	1221	2	0.7280328696	699	7.001844873	10	6	9	No OMIM disease association	FALSE
MS4A13	ENSG00000204979	ENST00000378186	0.97823	456	1	0.9782301385	NA	1.695334646	9	2	4	No OMIM disease association	FALSE
ERICH4	ENSG00000204978	ENST00000378187	1.0263	390	1	1.026282854	NA	2.809938463	10	4	NA	No OMIM disease association	FALSE
AJAP1	ENSG00000196581	ENST00000378191	1.0264	1233	1	1.026359576	NA	0.2673471614	1	9	10	No OMIM disease association	FALSE
RPP38	ENSG00000152464	ENST00000378197	1.0526	849	1	1.052600629	NA	3.022707674	10	3	9	No OMIM disease association	FALSE
TDP2	ENSG00000111802	ENST00000378198	0.99922	1086	1	0.9992261119	NA	1.205558821	8	4	4	Autosomal recessive only	FALSE
EXT1	ENSG00000182197	ENST00000378204	0.80834	2238	4	0.5735537931	524	0.3415126615	1	9	9	Other inheritance type	TRUE
DFFB	ENSG00000169598	ENST00000378209	0.90334	1014	1	0.9033341656	NA	0.9350114573	6	3	2	No OMIM disease association	FALSE
KIAA0319	ENSG00000137261	ENST00000378214	0.90366	3216	1	0.9036600121	NA	0.9329850384	6	1	2	No OMIM disease association	FALSE
BTBD3	ENSG00000132640	ENST00000378226	0.65069	1566	3	0.6002243829	1273	0.5053181181	2	9	7	No OMIM disease association	FALSE
OLAH	ENSG00000152463	ENST00000378228	1.1551	795	1	1.155046491	NA	1.670179417	9	1	1	No OMIM disease association	FALSE
CEP104	ENSG00000116198	ENST00000378230	0.91043	2775	1	0.910427114	NA	0.8375765271	5	2	4	Autosomal recessive only	FALSE
SPIRE2	ENSG00000204991	ENST00000378247	1.178	2142	1	1.177976953	NA	0.8092009887	5	6	6	No OMIM disease association	FALSE
